Group Pattern,Confidence,Company Code,Vendor,Group Value,Amount Overbooked,Group Contains,Earliest Due Date,Group UUID
Exact Match,High,3000,0000003458 - Meyers Real Estate AG,1800,1200,All Open,,339f6269bfc11f79dca65cf3df894ba57e26ab8d68e112a3f411180ef62ec39d
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,3/12/2025,38531ba18c1265e6947f48568676ffbbaeee5cd962fed9369dd21839297e2548
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,2/25/2025,4d30f06ec11a73d035430015bf1cbbaa22f004f920492f8fe59b9a9e93cffde9
Exact Match,High,3000,0000100128 - Global Business Properties,1800,1200,All Cleared,,658494f32457f4e830773456728c88f2aca1a36db16462e92536413b54f84b2f
Similar Vendor,High,3000,Multiple,1800,1200,All Open,3/5/2025,b9a5695995a70feff20ff2bf426400b23d7c02cf4e2f2cbd64f67f397992f742
Exact Match,High,3000,GATORSA - GATORSA,1800,1200,All Open,,beb343f28b9472f72e0bf667644b0057aa8e36e80c41244e6909beb5e255e415
Similar Vendor,High,3000,Multiple,1800,1200,All Open,3/9/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7
Similar Value,High,3000,0000100128 - Global Business Properties,1720.899041,1120.899041,All Cleared,,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1
Similar Value,High,3000,0000100128 - Global Business Properties,1720.899041,1120.899041,All Cleared,3/1/2025,a035f0d3bb5a1873a23c23ccf64aa573e72e4089bf28012f24fe214ecdfd4fad
Similar Value,High,3000,0000100128 - Global Business Properties,1720.899041,1120.899041,All Cleared,,c19e6df1600de0cadaffd8c0b12e0ae754bd5840451a40f838e9ed76939144f0
Similar Value,High,3000,0000100128 - Global Business Properties,1720.899041,1120.899041,All Cleared,2/26/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658
Exact Match,High,3000,0000071810 - WCB - Saskatchewan,1716.485173,858.2425864,All Open,,0b8e27ca54496f2a8893684efe8afb801e6d62cb429e1251cad3bdee7b06bced
Exact Match,High,3000,0000003730 - Aztec Supplies,1716.485173,858.2425864,All Open,3/15/2025,0e5acc6d79a31911f827df483260a20e0284af8e4ebcbee0e97e41b1f10af303
Exact Match,High,3000,0000003020 - World Wide Computer Warehouse,1716.485173,858.2425864,All Open,,110b51d66a02e09cb64815c6710f056c795a557dfc9c6f6db7f7dcbe16ddbdfc
Exact Match,High,3000,0000003035 - CAFS Chemicals & Pharmaceuticals,1716.485173,858.2425864,All Open,3/15/2025,257f9229f0fdc4b0ea0ecd471f3c80500e52751ce9996073dd31f2b779b140b8
Exact Match,High,3000,0000005560 - IOT Furnitures Inc.,1716.485173,858.2425864,All Open,,2dc066b6cfca55ce8c36737830ca537f2cdf6983b52db16b73b327281a35ccbb
Exact Match,High,3000,0000100128 - Global Business Properties,1716.485173,858.2425864,All Cleared,3/3/2025,2ed41e7bafde114df6ff061b43936a110983b56f4427431ae9c3803910909818
Exact Match,High,3000,0000071201 - Manhattan Corporation,1716.485173,858.2425864,All Open,,327d7caebfb85d6a7559bf42731a3127e9f8311f44faff9650f15db699751b20
Exact Match,High,3000,0000003000 - CET New York,1716.485173,858.2425864,All Open,3/3/2025,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea
Exact Match,High,3000,0000100128 - Global Business Properties,1716.485173,858.2425864,All Cleared,,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac
Exact Match,High,3000,0000100128 - Global Business Properties,1716.485173,858.2425864,All Cleared,3/1/2025,bfbf57fe8f94cf97a3aa19efb6950afb682cd1dcbdd40ca960b954871c056f42
Exact Match,High,3000,0000100128 - Global Business Properties,1716.485173,858.2425864,All Cleared,,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c
Exact Match,High,3000,0000005560 - IOT Furnitures Inc.,1716.485173,858.2425864,All Open,3/15/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103
Exact Match,High,3000,0000100128 - Global Business Properties,1716.485173,858.2425864,All Cleared,,e4ea486d7ab540f96d72efbc567702971ce32e560f24c857b920939c56aec62e
Exact Match,High,3000,0000071801 - WCB - British Columbia,1716.485173,858.2425864,All Open,3/3/2025,f8886f2b02d35f1a1c577bea80a5a7adeeb27efe851236a50bc3d0aa4d9d386f
Exact Match,High,3000,0000100228 - ?????????,1200,600,All Open,,0104d5e828ee4600c93f0f11ceb0cc1f82cf375e55e9e159584696f19b08018b
Exact Match,High,3000,0000100073 - Proveedor 1,1200,600,All Cleared,2/28/2025,0b93770c8c5716171d7cdfda34fbf0bf76d9e7bc22122ff702925d22ece8ed38
Exact Match,High,3000,"0000003701 - eSupplier, Inc",1200,600,All Open,,0f0a415e0e3cc28b7554189231bbcb2943bbf77a78a388c8ffcdc5123ec3b7cc
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,2/25/2025,114d9c9a98a98e902a7dbc3e6d6730ec14f1bfe0f414ba8437fafd0701fa466c
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6
Exact Match,High,3000,0000071200 - Manhattan Corp.,1200,600,All Open,3/8/2025,1a02290841f102f2666ffebcfa22baa0635a6c98593c522745949aceb2240f83
Exact Match,High,3000,0000001011 - SKF Americas,1200,600,All Open,,1e75d078ed7801cb70a4d6a8a650c2f89c8f42b83fa18ed181d882fd3e4a9054
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,3/13/2025,1e7890e5a4957509edb4671948b1fca61bdaa1b2bcd0ba9b5ba2aa25c43f64e7
Exact Match,High,3000,0000010000 - IOT AG,1200,600,All Open,,23bcc5e88f379adffb198404864758e29490b02f5b83bb0783e492a47ffd2504
Exact Match,High,3000,"0000003701 - eSupplier, Inc",1200,600,All Open,3/13/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,,29fcd6fb36fadfd0c8d55fdcb47efab985b0f7f609d3250b1e799b83938b6a9f
Exact Match,High,3000,0000003511 - PA Electronics,1200,600,All Open,3/13/2025,2d8be040c40f31f739ef395decb535cbe8b35a5648b6ef8b3d14ceb0d40bf08a
Exact Match,High,3000,0000071812 - WCB - Nova Scotia,1200,600,All Open,,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6
Exact Match,High,3000,0000100228 - ?????????,1200,600,All Open,2/28/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588
Exact Match,High,3000,0000100073 - Proveedor 1,1200,600,All Cleared,,37445041ca56ab5df28cf2d3cd7c48cf776cf6bb5ef65a7d931cc400ce17b293
Exact Match,High,3000,0000003000 - CET New York,1200,600,All Open,2/28/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,,3f26216f519ec843d5793ed0703cdb45568e8a9d923813119815aeee4a97c726
Exact Match,High,3000,0000009003 - Wilhelm Klein,1200,600,All Open,3/10/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232
Exact Match,High,3000,COMUNASA - COMUNASA,1200,600,All Open,,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d
Exact Match,High,3000,0000071801 - WCB - British Columbia,1200,600,All Open,3/1/2025,5823b370be2caf14934062afd965627b6e8e32bb309eeceab95d3c83d727baf8
Exact Match,High,3000,COMUNASA - COMUNASA,1200,600,All Open,,5db8f33e4c78d20c39172530e998bbe95293ba77db4ea7e727b2cc12d3b941a6
Exact Match,High,3000,0000001100 - Phunix GmbH,1200,600,All Open,3/12/2025,5eca3a38ff86689da427a44d963b14fd033f081c16b5f46797027fb3aa2d6211
Exact Match,High,3000,0000071300 - Miller Company,1200,600,All Open,,626be1f56fe1e58a00ebd8b838de7f7e9f25b353773fa429d416a2a224923828
Exact Match,High,3000,0000071200 - Manhattan Corp.,1200,600,All Open,3/12/2025,674bd4d269528192f9e0969e64e7f355a05b7c079cc5c081070586f7c137e343
Exact Match,High,3000,0000100073 - Proveedor 1,1200,600,All Cleared,,6d8f655b3e4c9a40673a01655565ca330ae09544484d27189e3c44819bc402d8
Exact Match,High,3000,0000000500 - IOT AG New GL - (InterCompany Acco,1200,600,All Open,2/25/2025,705ecbcca58015e32556308132fbb15acdbe6b700593efdf256d5189ef80686b
Exact Match,High,3000,0000009000 - Anja Müller,1200,600,All Open,,76452304e7f152b97c3ad1e53b6107a86e3879ae3eb1fe4f4b7c7fa14155a1f3
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,3/10/2025,76a4b5bf7bad1b18cdd645d534a98917e03fb4971a6176e5dfebccd29c4d55ec
Exact Match,High,3000,0000003411 - Delta Steel Inc.,1200,600,All Open,,7d772bbbc31dda5eae46bbb38e1dd41d61217356d7dfdaf6af24bda32d3e5b54
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,2/26/2025,7d9cd1c4f11c9d1a2a54e39c2d613be53b82c45abaf8de6ccfb609913f49596c
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,,7d9ff6a6bfc35dcff3b88f005598ed98bfa2a48c7daeaed40d4e9cfe3a3d41f2
Exact Match,High,3000,0000060009 - Smith & Partners,1200,600,All Open,3/16/2025,828a263c1265960e2d24faa35021acf7ebbef6e269c12aa43b10750c95b78cc7
Exact Match,High,3000,0000003100 - Phoenix Supplies,1200,600,All Cleared,,832c01c585d37fa631520efa758cde7284da45848a46e755e9e9d4fba8cc8b0a
Exact Match,High,3000,ARAMI-00 - Aramingo-00,1200,600,All Open,3/9/2025,886243053ba1bf5e0f4a70b953bc40b8758e42ee9cba4ca56a56e9a8c9952e33
Exact Match,High,3000,0000005596 - SingaporeIOTMMVENDOR,1200,600,All Open,,9010cdd09cae0da3572e270728a2aaa1de30261ac4d4abb296a25e9909108006
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,3/15/2025,9335fe1b0ab1bf53594a5b85cdae6980f4ffed3aa949ba5e90ffd542275881c8
Exact Match,High,3000,0000060009 - Smith & Partners,1200,600,All Open,,965ac15d0071b9009136bbac6afaf39b27f483dad7c2ebc1c9e8cf122cdb7c3b
Exact Match,High,3000,COMUNASA - COMUNASA,1200,600,All Open,3/9/2025,9c227fd3df3e5c98c894fe19a314fc5ca0591f6aee90edfe0d13e4fac657315f
Exact Match,High,3000,0000009000 - Anja Müller,1200,600,All Open,,9e095dacc70941b0bbd7bb0a2fb8059f006ba53bf3e8a4be35394445903f2248
Exact Match,High,3000,COMUNASA - COMUNASA,1200,600,All Open,2/25/2025,9ffc694b9f25ac36a43600422ca74b83a2ebffd43411b81fec94841a10624167
Exact Match,High,3000,0000099991 - kneifelinchen Sibylle,1200,600,All Open,,a040f57cd5c45e8f6073030c3c4b74dafca82e5f708dcbbda699b4da98e07982
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,3/12/2025,a1ed3a73112e2646cf2df4c48d24dff6cd3db013f37582ddb33de3c51b581604
Exact Match,High,3000,0000071803 - WCB - New Brunswick,1200,600,All Open,,a3886a402285177969fa7592fea0ea72d3451389c55ddca7bddedefa86731893
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,2/25/2025,a423a4683bef90c00bf1c0c5238b9ab4ec36a8f0e548f5231fb0311283d943d0
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,,a45d968661c96933881a058687ef9dcc21b3c958116c098095edf82c0efec16a
Exact Match,High,3000,0000071807 - WCB - Ontario,1200,600,All Open,3/17/2025,a833f7f95c77ab8603d5ef0e2a1b91eaff3ce63ea5f93418dad42021eb75462e
Exact Match,High,3000,0000100073 - Proveedor 1,1200,600,All Cleared,,a936fd3d5863b56de3b152f0baca4ede4e56bbdf21a66eee71ad23c1046dbc29
Exact Match,High,3000,0000003411 - Delta Steel Inc.,1200,600,All Open,3/14/2025,affbb5c7fe851feb7e1c80c7c17dda5f5644f98a6c7f72aad30c29222dc5dbf1
Exact Match,High,3000,0000100228 - ?????????,1200,600,All Open,,b6e2e50ef7d05837113b7ed02e27cba9f7f1d9b492203c717d75a681d6f42d03
Exact Match,High,3000,0000100128 - Global Business Properties,1200,600,All Cleared,3/10/2025,b83e6821f0fcb61ff8ced3e801bcee41990e6d4200f72da0f2fac2b1dd752f36
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,,be5ece83c862b96cd6a38ad4a1aa3533d33e58f2c9fb013b61d08d23362791c8
Exact Match,High,3000,0000009000 - Anja Müller,1200,600,All Open,3/10/2025,bf2800da288c56923253341760f0001b1ce32be91c4469c75dae57a9d142896b
Exact Match,High,3000,0000100073 - Proveedor 1,1200,600,All Open,,c0669316d7d78b8505fb903ad16a7099aa98f4354b78c8b37345aea02de401dc
Exact Match,High,3000,0000100228 - ?????????,1200,600,All Open,2/26/2025,c6017bb1a3088e0a90b74b796d7f4e816bc2a41e349d209418149d02c5a68fb4
Exact Match,High,3000,0000003511 - PA Electronics,1200,600,All Open,,c9368218e2978360009b5ee240a632b40e84c017fd3e249d6cae1bb6b6d54c67
Exact Match,High,3000,0000071000 - Canada Customs & Revenue Agency,1200,600,All Open,3/6/2025,c9dd705aed4f37a160cbafd3ce4c3703e0d16dff0ff6e730b725fafd97c2ad30
Exact Match,High,3000,"0000003701 - eSupplier, Inc",1200,600,All Open,,cb65b705bb551731abb2bbf50ea50e3799bf186d82ec6e3a2f336c6123d30f55
Exact Match,High,3000,0000100228 - ?????????,1200,600,All Open,3/10/2025,d0ba31916e18c5d23647c8c226c46a4726955f48e340dcc64f39b23ede19a382
Exact Match,High,3000,0000007509 - Jack Douglas,1200,600,All Open,,d111eef827b040768b456c442d87b6b40c9344472fd6aea8d68d35059b2ff155
Exact Match,High,3000,0000071800 - WCB - Alberta,1200,600,All Open,3/8/2025,d2166c7bf46b68a1f599614cfd705d9bd314e7764b843f76f31e4d33d1001585
Exact Match,High,3000,0000071807 - WCB - Ontario,1200,600,All Open,,d7591c8b2b33a23ba01308841a38fc1b1ca959d894b017d0613a39cd3b7c2662
Exact Match,High,3000,0000071809 - WCB - Quebec,1200,600,All Open,2/25/2025,d9746c21081a5b920d13313593eb3c9d0b21cccce9329b79e44cabdf89e32882
Exact Match,High,3000,0000007509 - Jack Douglas,1200,600,All Open,,dda7a89a6b4cc983230b94a315e9d16c5da73c5faefa7a50124718a81463a101
Exact Match,High,3000,0000071100 - Revenue Quebec,1200,600,All Open,3/16/2025,e05969b8a0a17cc2f1112a27b5ce6d61efac45d33b42b9b569b94ec947a94657
Exact Match,High,3000,"0000003701 - eSupplier, Inc",1200,600,All Open,,e06adeb9993a5f145275a53eaccad30c9c59d216843a6d4302eca4dabf7c42db
Exact Match,High,3000,0000071400 - Miller Company Inc.,1200,600,All Open,2/27/2025,e1ef132fe53f82452af8fa37d0714a74ee502de09d942811aff44c978682a4bf
Exact Match,High,3000,0000009000 - Anja Müller,1200,600,All Open,,e27b43e2a1ba70097b380ac9e0b2b8340b47ea66387de8142ff096cb4c1c167b
Exact Match,High,3000,0000003411 - Delta Steel Inc.,1200,600,All Open,2/26/2025,e410b84b50008ac247beac4333d606d0ff4356c8c3c64cc4a401afc4910efc10
Exact Match,High,3000,GATORSA - GATORSA,1200,600,All Open,,ecab7268eba2cfbad7207bc6a000fd952777d9625830d6614b0965c21c246544
Exact Match,High,3000,0000071807 - WCB - Ontario,1200,600,All Open,2/25/2025,ed2e32255fe4d6a9eb78b12f3c946f0688b531bd6a4b20e629301ce2e74a5474
Exact Match,High,3000,0000099991 - kneifelinchen Sibylle,1200,600,All Open,,f75f474233e1a9aeb612606ec90b477c97f386a6238e54adfc4f952a65a3ac41
Exact Match,High,3000,AUTOMECSA - MECANICA AUTOMOVIL SANTANDER,1200,600,All Open,3/8/2025,f94762787e7f099e41aa05bbfcbecf64c83e0aeaaeb691cbdf909e6893436fbf
Exact Match,High,3000,0000003035 - CAFS Chemicals & Pharmaceuticals,1200,600,All Open,,facfbba545baf6c75b4d2f07a4f547977f54b190e489fc85d0634d1a539b7f81
Exact Match,High,3000,0000071400 - Miller Company Inc.,1200,600,All Open,2/25/2025,fb689f580d005c83d02a8c4e64a965c972ddf001f06f196bd65abe8befbcd502
Exact Match,High,3000,0000071810 - WCB - Saskatchewan,1041.798082,520.8990411,All Open,,164d2ec1e8f1035d501e10bf16415b4f1de4efa4f065f8631eafff55672b70ae
Exact Match,High,3000,0000001033 - Walldorf Grosshandel,1041.798082,520.8990411,All Open,3/15/2025,34c59432e79581910ed0af92bd6fc86c2d9b1f66db2ae94bc1c1ea0e7afe7315
Exact Match,High,3000,"0000009903 - Neubauer, Friedrich",1041.798082,520.8990411,All Open,,6010937ba57f2f21f3525ab31541872789f4eb85028259d7a06a2c08eca078a4
Exact Match,High,3000,T-K515B08 - Abbot Supplies Inc.,1041.798082,520.8990411,All Open,2/26/2025,7748d9a365905ccd4c179b8e41e08e28ef98bd25e33f6f434fe76b703c46a10f
Exact Match,High,3000,0000071100 - Revenue Quebec,1041.798082,520.8990411,All Open,,e5eaf802e9533978451eaf1375ea20e5062bfdf8e353c7bb6f09ca82d5213fdd
Exact Match,High,3000,0000200026 - State of New York,1041.798082,520.8990411,All Open,2/28/2025,f5eb83521fd27f648b06c63a5a8c267bc4929156b2bbc0ee9e62d0711f2750df
Similar Value, Medium,3000,0000071100 - Revenue Quebec,9919.747019,4922.717211,All Open,,ac00f2a24da24d43295fbf3734c93efe30f51c4f0d7ecbcf496192eaefbba995
Similar Vendor, Medium,3000,Multiple,1200,600,All Open,2/25/2025,23689941a41b20b6096ab0f8bd2eed957d3e345762826739c7a0ffd2d1b2bf26
Similar Date, Medium,3000,0000007509 - Jack Douglas,1200,600,All Open,,a79a146727ac5cc1c7d023c116afbae66bc94bafd4cddef4530f230d36c37568
Similar Vendor, Medium,3000,Multiple,1200,600,All Open,2/25/2025,b5c048470ac8e07f51b1e03e7b30be40ae798a30a47072a32853cdc155e54647
Similar Reference, Medium,3000,0000003819 - Tucker Industries,1041.798082,520.8990411,All Open,,f594f4b0333e9a0f9fb28a537c7886c2750f699ed188163e81305dce613b5fbc
Similar Value,  Low,3000,0000100194 - Chris Winter,22645.25196,11313.62598,All Cleared,2/28/2025,fa1369db20b5c20f78f62c8c464b0b7f90cdfad7650c66df7ceff02ae4b25dbd
Similar Value,  Low,3000,0000003730 - Aztec Supplies,16259.45105,8124.067182,All Open,,e0184462dcc41a4c54c717947c0e31220f7d230272dc6c216d0ca199a7678953
Similar Value,  Low,3000,0000100194 - Chris Winter,14251.47503,7116.338919,All Cleared,3/15/2025,8a786c997ee0352a1719a3a9ffdd366811615f2ad6feb9887fc3eabbc3773c5d
Similar Value,  Low,3000,0000003000 - CET New York,13161.63691,6557.223475,All Open,,7b84dc1c952f5385d9370f1feb5b8bd0fbac42b44d609ec2df38656391963014
Similar Value,  Low,3000,0000071400 - Miller Company Inc.,11900.80113,5934.596595,All Open,2/25/2025,c755625a6f08e1501e3ed6e9c4758f7f7b876a193b14639c7567a099f6196277
Similar Value,  Low,3000,0000009003 - Wilhelm Klein,10858.64102,5414.60161,All Open,,fabda66524b880c02b5dad4f7396bff110559ec9b143413351a346681d52029b
Similar Value,  Low,3000,0000003035 - CAFS Chemicals & Pharmaceuticals,10615.48237,5298.167594,All Open,3/2/2025,8806f488ab4e4502cdee645f31e17d2afbe3b01f4c83f7bd0a2b064eae05e001
Similar Value,  Low,3000,T-K515B19 - Abbot Supplies Inc.,10494.88812,5231.468652,All Open,,771e06cc39fcc5bf76a4f2783a27b30507e46c2acb5b1737b9c9363daa6cc674
Similar Value,  Low,3000,"0000003701 - eSupplier, Inc",10375.97105,5152.849983,All Open,2/26/2025,ce3fa1fc332040d22d4d9ec1e5e76de1fd63fdf6ca82f39b707a510cee264278
Similar Value,  Low,3000,0000100128 - Global Business Properties,10338.61069,5148.460198,All Cleared,,59add55a6f9bfd3bee91ad02f5a57638aa03ae9fef2db39427acf28c6a82062e
Similar Value,  Low,3000,0000100128 - Global Business Properties,10325.14998,5130.78914,All Cleared,2/26/2025,82ebfd0be15c7961570ebf99bc38bd7aea0c46c5f51ef38e96dfa3f0c49ab69e
Similar Value,  Low,3000,0000001005 - PAQ Deutschland GmbH,10298.24322,5110.043277,All Open,,babfab52240577e8c4a712217e069567c1ffdf1ac184d4d67e67b606c4b06c21
Similar Value,  Low,3000,0000071000 - Canada Customs & Revenue Agency,10296.55966,5130.819088,All Open,3/12/2025,b8a0070197986b02af1844f63fce0ebab846e0e8a049f924dcdfbef338b468db
Similar Value,  Low,3000,T-K515B17 - Abbot Supplies Inc.,10277.56679,5119.883422,All Open,,12bf69969fbe2ca25228a10ba1aa0fafe84e2abfabe2db5acba6a6c4280056d0
Similar Value,  Low,3000,0000100128 - Global Business Properties,10241.70223,5098.453236,All Cleared,3/14/2025,e2a7b7e9e931e78b58ad4d9ade7f7b2ae81c6370db9adefa50a54417cee633eb
Similar Value,  Low,3000,0000071812 - WCB - Nova Scotia,10237.81685,5098.453236,All Open,,472444c52757d6dd125d26164867f1646445ef07770d436a7a6584ea534701ff
Similar Value,  Low,3000,0000009004 - Carole B,10060.10803,5018.755142,All Open,3/12/2025,a3e06b9d9cba1e870a87b5995f4c299759266e7cc4e6a8eefc4db405b3616392
Similar Value,  Low,3000,0000071201 - Manhattan Corporation,10044.94109,4982.603719,All Open,,1174969926d452536a367d8969fb71c078c5545c868d0f2fa517f0c1d0317c4f
Similar Value,  Low,3000,0000100128 - Global Business Properties,10023.54828,4990.721424,All Cleared,3/10/2025,a4ee2d09c3c8d7c62e3b33837fcbaca89d5c8499198c3f05ef0909298cb94448
Similar Value,  Low,3000,0000003730 - Aztec Supplies,9862.796607,4925.018925,All Cleared,,87615c295f4ffba3dca791706496ec8b8cb396cb4d7122f2d875b53aa24e9d0e
Similar Value,  Low,3000,0000071810 - WCB - Saskatchewan,9543.06602,4738.169425,All Open,3/13/2025,a11c17426dfb96d71f865a105e55fdae4b194efb02ba4dba03350b542b07215f
Similar Value,  Low,3000,0000100128 - Global Business Properties,8982.568612,4451.615933,Open/Cleared,,f1a112346346c1f55afb558a08e996455978c0f2bb074b46fd14cd31767f159b
Similar Value,  Low,3000,0000071400 - Miller Company Inc.,8461.30488,4207.957838,All Open,3/15/2025,fbbf41fefe3d26bce3fb7f55f59e0c36f989aff88ff8b10ba02aea0ace045ad6
Similar Reference,  Low,3000,0000071807 - WCB - Ontario,1800,1200,All Open,,904205743b5b9436b32c4e2b3df7560c326bbaa63d24604330025c0b58a8aaae
Multiple,  Low,3000,Multiple,1800,1200,All Open,3/15/2025,b47c8036309bba5657ff2a9739436aa43e9536ca3d1c286956f7c75d7d87a4ed
Multiple,  Low,3000,Multiple,1800,1200,All Open,,ce87371f30436cc6775a80e6ff5edf1f27af800f3047541f6cb526008ab97459
Multiple,  Low,3000,Multiple,1720.899041,1120.899041,All Open,3/9/2025,c442dfedf60446f1e41ff7d968ad46eac6d8166791e99048619feb3377ca79ab
Multiple,  Low,3000,Multiple,1720.899041,1120.899041,All Open,,d23666a64f2872193d465ed9e3239d82c04f43aba763756097d6a2c2c0f03069
Similar Reference,  Low,3000,0000071803 - WCB - New Brunswick,1716.485173,858.2425864,All Open,3/12/2025,ef8afc3ae3631325c8530e3913a549f1df3f558b504c89775ef5cd9100705758
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,,1d7342dca25c23a997e84ddb862365ebb55ecb4924ef1562ad59562a1883bbf6
Similar Reference,  Low,3000,0000022100 - ?? ??,1200,600,All Open,3/15/2025,3998f64727864062d9ffb2d1bb261bad8477d2960df0e1d235c7cd3d30a36c06
Similar Reference,  Low,3000,0000071800 - WCB - Alberta,1200,600,All Open,,3a24074be37ff184cfe7542b7e9390081b6fbd78c762b84c826472de8c05adda
Similar Reference,  Low,3000,0000071801 - WCB - British Columbia,1200,600,All Open,3/12/2025,5c0d666e0994b6cd425fad7e479c427c3436bd19d3a25b953bcadda35c52bd1d
Similar Vendor,  Low,3000,Multiple,1200,600,All Open,,6b2e9bfe809178c65f39faecf48e0db2ceea5c86b74fc627619089119e323fff
